7239	謝景初	0.000715547
25030	孫諤	0.000713626
26447	吳拱之	0.000712858
20450	劉季孫	0.000710467
1200	劉庠	0.000710148
394	趙挺之	0.000709849
440	賈易	0.000709694
9007	趙煦	0.000709179
1542	孫升	0.000709167
2007	楊繪	0.000708922
79	陳師錫	0.000706822
15752	王沖	0.000705805
4126	尹材	0.000704374
3947	王震	0.000704294
24380	趙良規	0.000702047
2123	石揚休	0.000701939
3766	蘇不欺	0.000700861
5106	程氏(蘇洵妻)	0.000698293
1216	劉牧	0.000695706
1305	呂希績	0.00069269
16764	范百歲	0.000691348
1230	劉述	0.000689179
7337	司馬康	0.000688534
40304	李中	0.000684123
1489	蘇安世	0.000671233
7180	趙從古	0.00066456
38892	王仲符	0.000664537
25459	趙師旦	0.000664343
2134	孫奕	0.000663558
7016	張次元	0.000663312
38774	王任	0.000657238
5241	賈氏(趙宗訥妻)	0.000654943
4148	劉放	0.000654239
3917	杜紘	0.000650139
4144	晏成裕	0.000647576
8090	劉沆	0.000645473
21226	司馬京	0.000642337
3568	林積	0.000639585
42323	呂逢時	0.00063857
15962	趙宗訥	0.000637977
20886	王正路	0.000629847
11770	裴德裕	0.00062445
11655	焦千之	0.00062361
449	賈黯	0.000622042
2026	楊畋	0.000618241
3501	李孝稱	0.000617697
43985	段縫	0.000615044
5371	吳氏(趙宗楷妻)	0.000614032
19691	張𡒊	0.000613152
10809	歐陽奕	0.000612889
47676	陳鑄	0.000612702
20221	劉几	0.0006108
22723	顏太初	0.000610002
15941	孔宗翰	0.000605953
22724	顏復	0.000605928
43523	俞紫琳	0.000605377
45194	章公量	0.000605089
1411	包拯	0.000604699
13104	錢龢	0.000601275
8092	劉逵	0.000601138
468	蹇序辰	0.000600578
40419	釋懷璉	0.000595466
21620	丁宗臣	0.000594171
47425	陳洙	0.000593431
1748	董敦逸	0.000590856
24938	何敏	0.000590327
24940	何大臨	0.000590327
233	張詢	0.00059025
3712	上官均	0.000589508
26417	劉巨	0.000588496
7225	傅楫	0.000587165
1596	唐義問	0.000586491
1653	蔡抗	0.000585837
4220	曹氏(趙禎妻)	0.000585662
5089	趙英	0.000580212
46190	徐洪	0.000578093
